SNo;Город;Регион;Федеральный округ
1;Адыгейск;Адыгея;Южный
21;Свободный;Амурская область;Дальневосточный
23;Тында;Амурская область;Дальневосточный
31;Мирный;Архангельская область;Северо-Западный
36;Сольвычегодск;Архангельская область;Северо-Западный
41;Камызяк;Астраханская область;Южный
61;Туймазы;Башкортостан;Приволжский
63;Учалы;Башкортостан;Приволжский
72;Новый Оскол;Белгородская область;Центральный
73;Старый Оскол;Белгородская область;Центральный
79;Злынка;Брянская область;Центральный
81;Клинцы;Брянская область;Центральный
83;Новозыбков;Брянская область;Центральный
102;Гусь-Хрустальный;Владимирская область;Центральный
115;Радужный;Владимирская область;Центральный
126;Камышин;Волгоградская область;Южный
144;Вытегра;Вологодская область;Северо-Западный
239;Прохладный;Кабардино-Балкария;Северо-Кавказский
241;Тырныауз;Кабардино-Балкария;Северо-Кавказский
260;Светлый;Калининградская область;Северо-Западный
281;Медынь;Калужская область;Центральный
320;Мыски;Кемеровская область;Сибирский
323;Полысаево;Кемеровская область;Сибирский
331;Вятские Поляны;Кировская область;Приволжский
338;Малмыж;Кировская область;Приволжский
349;Вуктыл;Коми;Северо-Западный
355;Сыктывкар;Коми;Северо-Западный
382;Крымск;Краснодарский край;Южный
395;Хадыженск;Краснодарский край;Южный
404;Заозёрный;Красноярский край;Сибирский
418;Шарыпово;Красноярский край;Сибирский
422;Куртамыш;Курганская область;Уральский
434;Рыльск;Курская область;Центральный
437;Щигры;Курская область;Центральный
442;Выборг;Ленинградская область;Северо-Западный
443;Высоцк;Ленинградская область;Северо-Западный
463;Сланцы;Ленинградская область;Северо-Западный
464;Сосновый Бор;Ленинградская область;Северо-Западный
476;Чаплыгин;Липецкая область;Центральный
485;Ковылкино;Мордовия;Приволжский
493;Бронницы;Московская область;Центральный
498;Высоковск;Московская область;Центральный
499;Голицыно;Московская область;Центральный
503;Долгопрудный;Московская область;Центральный
508;Железнодорожный;Московская область;Центральный
529;Луховицы;Московская область;Центральный
530;Лыткарино;Московская область;Центральный
531;Люберцы;Московская область;Центральный
534;Мытищи;Московская область;Центральный
539;Озёры;Московская область;Центральный
569;Юбилейный;Московская область;Центральный
571;Апатиты;Мурманская область;Северо-Западный
574;Заполярный;Мурманская область;Северо-Западный
583;Полярные Зори;Мурманская область;Северо-Западный
584;Полярный;Мурманская область;Северо-Западный
595;Выкса;Нижегородская область;Приволжский
604;Лысково;Нижегородская область;Приволжский
622;Сольцы;Новгородская область;Северо-Западный
632;Куйбышев;Новосибирская область;Сибирский
639;Чулым;Новосибирская область;Сибирский
642;Называевск;Омская область;Сибирский
650;Кувандык;Оренбургская область;Приволжский
657;Ясный;Оренбургская область;Приволжский
660;Ливны;Орловская область;Центральный
667;Заречный;Пензенская область;Приволжский
686;Кудымкар;Пермский край;Приволжский
688;Лысьва;Пермский край;Приволжский
689;Нытва;Пермский край;Приволжский
697;Чердынь;Пермский край;Приволжский
721;Печоры;Псковская область;Северо-Западный
725;Пыталово;Псковская область;Северо-Западный
738;Красный Сулин;Ростовская область;Южный
749;Шахты;Ростовская область;Южный
754;Рыбное;Рязанская область;Центральный
765;Новокуйбышевск;Самарская область;Приволжский
767;Отрадный;Самарская область;Приволжский
770;Сызрань;Самарская область;Приволжский
791;Красный Кут;Саратовская область;Приволжский
798;Хвалынск;Саратовская область;Приволжский
799;Шиханы;Саратовская область;Приволжский
823;Верхняя Пышма;Свердловская область;Уральский
830;Заречный;Свердловская область;Уральский
834;Камышлов;Свердловская область;Уральский
859;Сысерть;Свердловская область;Уральский
882;Сычёвка;Смоленская область;Центральный
884;Благодарный;Ставропольский край;Северо-Кавказский
890;Изобильный;Ставропольский край;Северо-Кавказский
894;Минеральные Воды;Ставропольский край;Северо-Кавказский
896;Невинномысск;Ставропольский край;Северо-Кавказский
911;Агрыз;Татарстан;Приволжский
915;Бавлы;Татарстан;Приволжский
925;Мамадыш;Татарстан;Приволжский
928;Набережные Челны;Татарстан;Приволжский
935;Белый;Тверская область;Центральный
938;Вышний Волочёк;Тверская область;Центральный
943;Кимры;Тверская область;Центральный
945;Красный Холм;Тверская область;Центральный
957;Кедровый;Томская область;Сибирский
982;Кызыл;Тыва;Сибирский
997;Барыш;Ульяновская область;Приволжский
1016;Когалым;Ханты-Мансийский авт. окр.;Уральский
1024;Пыть-Ях;Ханты-Мансийский авт. окр.;Уральский
1025;Радужный;Ханты-Мансийский авт. окр.;Уральский
1029;Ханты-Мансийск;Ханты-Мансийский авт. окр.;Уральский
1038;Карталы;Челябинская область;Уральский
1044;Кыштым;Челябинская область;Уральский
1054;Трёхгорный;Челябинская область;Уральский
1062;Грозный;Чечня;Северо-Кавказский
1066;Алатырь;Чувашия;Приволжский
1072;Чебоксары;Чувашия;Приволжский
1075;Анадырь;Чукотский авт. окр.;Дальневосточный
1082;Мирный;Якутия;Дальневосточный
1087;Среднеколымск;Якутия;Дальневосточный
1089;Удачный;Якутия;Дальневосточный
1092;Лабытнанги;Ямало-Ненецкий авт. окр.;Уральский
1094;Надым;Ямало-Ненецкий авт. окр.;Уральский
1095;Новый Уренгой;Ямало-Ненецкий авт. окр.;Уральский
1102;Мышкин;Ярославская область;Центральный
1106;Рыбинск;Ярославская область;Центральный
